آخذ,گیرنده
خوشحال,دلشاد;خرسند;سرخوش;شاد;شادکام;شادمان
خوف,ترس;باک;ترسیدن
خوف برداشتن,ترسیدن
خوفناک,ترسناک;سهمناک
خیاط,جامه دوز;درزی;دوزنده
خیال کردم,گمان کردم;پنداشتم
خیرمقدم,خوش آمد;خوشامد
دائرة المعارف,دانشنامه
دائم,جاویدان;همیشه;همیشگی;پایا;پاینده;همش;همواره
دائم الخمر,میخواره
دائمی,همیشگی
داخل,تو یا درون;اندر;اندرون;تو;درون;میان
داخل کشور,درون کشور
داخلی,درونی;خانگی
دائرة المعارف,دانشنامه
درب,در;دروازه
دلایل,انگیزه‌ها
دلیل,انگیزه;آوند;چرایی;راهنما;رهنمون;سبب;شُوند;فرنود;نشانه
دمکرات,مردمسالار
دمکراتیک,مردمسالارانه
دور باطل,دور تباه
دیاگرام,نمودار
دیه,خونبها;خونبها;خون بها
در ارتباط با,درباره
در اسرع وقت,هرچه زودتر;هر چه زودتر
در آینده نزدیک,این دیده هنگام
در این ارتباط,در این باره
در این خصوص,در این باره
در این مورد,در این راستا;در این باره
در آخر,در پایان
در باب,درباره;در این باره
در حال توسعه,رو به پیشرفت
در حال حاضر,هم اکنون
در حال رشد,رو به پیشرفت
در خصوص,درباره
در رابطه با,درباره
در راس,در بالای
در رأس,در بالای
در ضمن,همچنین;افزون برین;وانگهی
در عوض,در برابر
در عین حال,در همان سان;به همان سان
در غیر اینصورت,وگرنه
در قدیم,پیشتر ها
در کل,رویهمرفته
در مجموع,رویهمرفته
در محذور,در تنگنا
در مقابل,در برابر;فراروی
در نتیجه,برآیند اینکه;بنابر این
در نظر گرفتن,به دیده داشتن;درنگر آوردن;درنگریستن
در نهایت,در پایان;سرانجام
در هر حال,به هر روی
درس,آموزه;آموزش
درس اول,آموزه نخست
درک کردن,پی بردن;دریافتن
درمورد,درباره
دست آخر,در پایان
دستجرد,دستگرد
دسته جمعی,گروهی
دستور جلسه,دستور نشست
دستور قتل,دستور کشتن
دعا,نیایش;ستایش
دعا می‌کنم,نیایش می کنم
دعوت کردن,فراخواندن
دعوتنامه,فراخوانه;فراخوانی
دعوی کرد,کتک کاری کرد
دفاع,پشتیبان;پشتیبانی;پدافند;ایستادگی;پایداری;پدافند
دفتر خاطرات,دفتر یادبود;دفتر یادمان‌ها
دفن کردن,خاکسپاری;گوراندن
دکوراسیون منزل,خانه آرایی
دلایل,انگیزه‌ها
ذاتی,خداددادی;گوهری
ذخیره,اندوخته;پس انداز;پشتوانه
ذره,خرده;ریزه
ذکر کردن,یادکردن
ذکور,مردها
ذلت,خواری;بدبختی;پستی;سرشکستگی
ذیل,زیر;پانوشت;پایین
رئیس جلسات,سرپرست نشست‌ها
رئیس خانواده,سرپرست خانواده
راجع به,درباره;پیرامون
راحت,آسان;آرام;آسایش;آسوده;ساده
رادیوتراپی,پرتودرمانی
راس ساعت,سر ساعت
راسخ,استوار;پای برجا;پایدار
راه حل,راهکار;راه چاره;گره زدایی;گره گشایی
راوی,گوینده;بازگو;داستان سرا
رزق,روزی;خوراکی;خوردنی
رسم الخط,دبیره;خوش نویس;شیوه نگارش;دبیره نویسی;آیین نگارش;خوش نویسش
رسوب,ته نشست;ته نشین;ته نشینی;درد;لای;لرد
رسوخ کردن,رخنه کردن
رسول,فرستاده;پیام آور;پیام بر
رشد کردن,بالیدن
رضایت,خوشنودی
رطوبت,نم;خیس
رطوبت دارد,نم دارد
رعب و وحشت,ترس و هراس
رعد,آذرخش;تندر;تندر
رعد و برق,آذرخش;تندر;تندر و آذرخش
رعشه,لرزه;لرزش;لزره
رعیت,دهوند;شهروند;کشاورز
رفاقت,دوستی;همدلی;یاری
رفراندم,همه پرسی;همپرسی
رفقا,دوستان
رفیق,دوست;همدل;همراه;یار
رفیقان,دوستان
رقابت,مبارزه;چشم و همچشمی;چشم وهمچشمی;هماوردی;همچشمی
رقص,پایکوبی;جنبیدن;دست افشانی;رامشگری;فرخه;وشت;وشت
روز بخیر,روزخوش;روز خوش
روز تولد,زادروز
رویت,دیدن;دید
رئوس مطالب,سرنوشتار ها
زائده,زیادی;خار;خاشاک;خاشه;خاکروبه
زبان خارجی,زبان بیگانه
زبان محاوره ای,زبان گفتاری
زحمت,دردسر;دشواری;رنج;رنجش;رنجه;سختی;فشار
زراعت یا زارع,کشاورزی یا کشاورز
زکات,هشت یک
زکام,سرماخوردگی;چایش;چاییدن
زلزله,زمین لرزه;بومهن
زنجان,زنگان
زوال,فروپاشی;نابودی;نیستی;ویرانی
زوج,همسر;جفت
زیاد,بسیار;افزون;انبوه;سرشار;فراوان;گسترده;وشناد
زاهد,پارسا;پرهیزکار
زاویه,گوشه;سوک;کنج;گونیا
زاید الوصف,چشمگیر
زباله,آشغال;خار;خاشاک;خاشه;خاکروبه
سؤال,پرسش;پرسیدن;درخواست
سؤال کردن,پرسیدن
سابقه,پیشینه
ساحت,پیشگاه;آستانه
سارق,دزد;راهزن
ساقط,سرنگون;واژگون
سال جاری,امسال
سالاد,سبزیانه
سالم,تندرست
سایت اینترنتی,تارنما
سایر,دیگر;روان;رونده
سایرین,دیگران
سبزیجات,سبزی‌ها
سبقت,پیشی;پیشی گرفتن;پیشیگرفتن;گذشتن
سبوعانه,ددمنشانه
سجاده,جانماز
سخیف,سبک
سد امیرکبیر,بند امیرکبیر
سرحدات,مرزها
سرقت,دزدی;دستبرد;ربایش
سریع,تند;پرشتاب;چابک;چالاک;شتابان;شتابنده;فرز
سریعتر,تندتر
سعادت,بهروزی;خوشبختی;نیک بخت شدن
سعی,کوشش;پشتکار;تلاش
سفاک,خونریز;ددمنش;سنگدل
سلاطین,پادشاهان
سلام,درود;نیک روز;روز خوش
سلامت باشید,پاینده باشید;زنده باشید
سلسله اشکانی,دودمان اشکانی
سلسله جبال,رشته کوه ها;رشته کوهها;رشته کوهها
سلطان,پادشاه;شهریار
سلطه,چیرگی;فرمانروایی
سم,زهر;شرنگ
سمبل,نماد
سمبلیک,نمادین
سمعی بصری,دیداری شنیداری
سمینار,هم اندیشی;همکاوی
سنه,سال
سهل,آسان;ساده
سهم,بهره;بخش;دانگ
سهوا,ندانسته
سهواً,ندانسته
سهولت,آسانی;سادگی
سوء رفتار,بدرفتاری
سوء شهرت,بدنامی
سونیت,سراچه
سوابق,پیشینه;پیشینه‌ها
سواحل دریای خزر,کناره های دریای مازندران
سوبسید,یارانه
سوق الجیشی,راهبردی
سیاسیون,سیاستمداران
سیرجان,سیرگان
سیفون,آبشویه
شأن,بزرگی
شایان ذکر است,گفتنی است
شاهد,گواه;انجمن;گواهی دهنده
شایان,شایسته
شباهت,همانندی;مانستگی;مانندگی;همتایی;همگونی
شبیه,مانند;همانند;همدیس;همسان;همگون
شجاع,دلیر;پردل;دلاور;شیردل;گرد
شجاعت,دلیری;دلاوری
شجره نامه,تبارنامه
شدید,به سختی;سخت
شربت,دوشاب;شکرآبه;شهدآبه;نوشابه
شرح وقایع,رویدادنامه;رویداددنگاری
شرفیاب شدن,باریافتن;بار یافتن
شروع,آغاز;سرآغاز
شریان,سرخرگ;شاهرگ
شط العرب,اروندرود
شطرنج,چترنگ;سترنگ;شترنج;شترنگ
شعائر مذهبی,آیین های دینی
شعبده بازی,چشم بندی
شعله,اخگر;افرازه;تابش;زبانه;فروزینه
شعور,خرد;دانایی;دانستگی;دریافتن;هوش
شغل,کار;پیشه
شفا,درمان;تندرستی;بهبود;بهبودی
شکرگذاری,سپاسگذاری;سپاسگزاری
شمسی,خورشیدی
شهادت,گواهی;جانباختگی;گواهی دادن
شهادت طلبانه,جانبازانه;جانسپارانه
شوق,شور;آرزومندی;خواستاری;دلبستگی;شادی
شوکت,شکوه;فر;والایی
شیطان,اهریمن;دیو
شیمی,کیمیا
شیمیایی,کیمیایی
شیوع,گسترش;همه گیر;واگیر
شامل,در بر گیرنده;دربر گیرنده;فراگیر
شایان,شایسته;درخور;سزاوار;شایا
شاکی,گله مند;گله گزار
شهر,شار;شهرگ
شفاهی,زبانی;گفتاری
صائب,درست
صائبین,درست‌ها
صادق,راستگو;پاکدل;درستکار;رو راست
صاعقه,آذرخش
صاف و هموار,هموار
صالح,درستکار;پارسا;پرهیزکار;شایسته;نیکوکار
صبح,بامداد;پگاه;سپیده دم
صبور,بردبار;خود دار;شکیبا
صحرا,بیابان;دشت و دمن
صحیح,درست;بایسته;خوب ونیک
صداقت,راستی;بی آلایشی;درستی;راستگویی;رو راستی
صدمه,آسیب;آفت;زیان;گزند
صدمه دیده,آسیب دیده
صرفنظر کردن,چشم پوشی کردن;دل فروبستن
صعب العلاج,بی درمان;درمان ناپذیر;دشوار درمان;سخت درمان
صعودی,افزاینده;فرایاز;فزاینده
صفویه,صفویان
صلوات,درود فرستادن
صلوة,نماز
صمیمی,خودمانی
صورت,روی;چهره;رخسار;رخساره;گونه
صیاد,شکارچی;ماهیگیر;دامیار;شکارچی;شکارگر;ماهیگیر;نخجیرگیر
صاحبنظر,کاردان;کارشناس
ضربه,پیکر;لاشه;پیکر;سترگ
ضدعفونی کردن,گندزدایی
ضرب المثل,زبانزد
ضربان,تپش;تپیدن
ضرر,زیان;آسیب;گزند
ضرورت,بایستگی;ناچاری;ناگزیر;نیاز
ضروری,بایسته;ناچار;ناگزیر
ضعف,سستی;زبون;ناتوانی;نزاری
ضعیف,ناتوان;سست;کم زور;لاغر;نزار
ضمن آنکه,افزون بر آنکه
ضمن تایید,افزون بر درست شمردن
ضمیمه,پیوست;همراه
ضیافت,میهمانی;بزم;جشن;سور;مهمانی
طاقت,تاب;توان;توانایی;توان;یارایی
طالع,بخت;سرنوشت
طایفه,تبار;تیره;خاندان;ویس
طباخ خانه,آشپزخانه
طباخی,آشپزی;خوالیگری
طبخ,پختن
طبق,بر پایه;برابر;برپایه;تال;تبک;ترینان;سبد
طبقه بندی,دسته بندی;رده بندی
طبیب,پزشک
طبیعت انسان,سرشت آدمی
طراز,تراز همانند ترازو
طرد شده,رانده شده;رانده
طرز تفکر,بینش
طرفین,هر دو سو
طریقه,شیوه;روال;شگرد;گونه
طعم,مزه
طلا,زر;تلا;زر
طلافروش,زرگر
طلایی,زرین;زرگون
طلوع آفتاب,برآمدن خورشید;برآمدن آفتاب;بردمیدن آفتاب
طمانینه,آرامش
طمأنینه,آرامش
طناب,ریسمان;رسن;رشتک;کمند
طهران,تهران
طوس,توس نام شهر
طول,درازا;درازای;درازنا
طول تاریخ,درازای تاریخ
طویل,دراز;بلند
طی کردن,پیمودن;پوییدن;درنوردیدن;رهسپاری;نوردیدن
طیور,پرندگان;ماکیان
ظالم,ستمگر;بیدادگر;جفاکار;زورگو
ظالمانه,ستمگرانه;بیدادگرانه;زورگویانه
ظاهر شدن,پدیدار شدن
ظرفیت,گنجایش;خورند;گنجانه;گنجایی
ظلم,ستم;بیداد;جفا;زورگفتن
ظلمات,تاریکی;گمراهی
ظن,گمان;پندار;گمانه
ظهور,پیدایش;آشکاری;پیدایی;نمود
عابر,رهگذر;رونده;گذرکننده
عابر بانک,خودپرداز
عاجز,درمانده;بیچاره;زبون;ناتوان
عادت,خو;خو گیری;خوی;روش;سرشت;شیوه;منش
عادت کردم,خو گرفتم
عادت کردن,خو گرفتن;خو کردن;خوی گرفتن
عادلانه,دادگرانه;دادمنشانه
عار داشتن,ننگ داشتن
عازم شدن,روانه شدن;رهسپار شدن;رهسپارشدن
عاقبت,سرانجام;پیامد;فرجام
عاقبت به خیر,نیک فرجام
عاقل,خردمند;اندیشمند;پخته;دانا;زیرک;هوشمند
عالم,جهان;دانشمند;سپهر گردون;کیهان;گیتی
عالمگیر,جهانگیر
عالیجناب,بزرگوار;ارجمند;گرانمایه;والاگهر
عامیانه,تودگانه
عبا,بالاپوش
عبادت,پرستش;ستودن;ستایش;نیایش
عبارتند از,بر این پایه اند
عبرت,پند;آموزش;آموزه;اندرز;پنداموزی
عبور کردن,گذشتن;گذر کردن;ردشدن;گذر
عبور و مرور,آمد و شد;رفت و آمد
عجب,منی;خودستایی;خودبینی;شگفت;شگرف;شگفت انگیز;شگفت آور;شگفتی
عجز,درماندگی;بیچارگی;ناتوانی
عجله,شتاب;تندی;تیزی;چابکی
عجله کن,شتاب کن
عجیب,شگفت;شگرف;شگفت انگیز;شگفت آور
عدل,داد;دادگری;دادمندی;داوری;نیم خروار
عدم موفقیت,ناکامی;ناکامیابی
عده ای,شماری
عدیده,پرشمار
عذر می‌خواهم,پوزش می خواهم
عذرخواهی,پوزش خواستن
عرصه,پهنه;میان سرای;میدان
عرض,درازای;پهنا
عرض اندام,جلوه نمایی
عرض حال,دادخواست
عرضه و تقاضا,داد و خواست
عریض,پهن;پَهَن;پهناور;گسترده;گشاد
عزا,سوگ;سوگواری
عزاداری,سوگواری
عزل,برکناری;بیکار کردن
عصبانی,خشمگین;برآشفته;تندخو;جوشی
عصبانی شدن,برآشفتن
عصبانیت,خشم;برآشفتگی
عصر,ایوار;پس از نیمروز;پسین;روزگار;زمان
عصر باستان,دوره باستان
عصر فن آوری,زمانه فن آوری
عصیان,سرکشی;سرپیچی;گردنکشی
عطف,بازگشت;بازگشتن
عفو,بخشش;بخشودن;آمرزش;بخشایش;بخشیدن;چشم پوشی
عقاید,باورها
عقب ماندگی,واپس ماندگی
عقب مانده,واپس مانده
عقب نشینی,واپس نشینی;پس رفتن
عقل,خرد;خرَد;دانایی;دانش;هوش
عقلانیت,خردمندی
عقیده,باور;اندیشه;خواسته;دیدگاه;رای
عکس العمل,واکنش
علامت,نشانه;آرنگ;نشانی
علائم راهنمایی و رانندگی,نشانه های راهنمایی و رانندگی
علاج,درمان;چاره;چاره جویی
علاقه,دلبستگی;دوست داشتن;گرایش
علاقه دارم,دلبستگی دارم
علاقه مند,دوستدار;دلبسته;شیفته;مهرورز
علاوه بر این,افزون بر این
علم,دانش;پرچم;نشان;درفش;دانایی
علم بدیع,دانش نوآوری
علنی شد,آشکار شد
علی الخصوص,به ویژه;بویژه
علی ای حال,به هر روی
علیرغم,با اینکه;با آنکه;بااین همه;به ناخواست
علیه او شورید,بر او شورید
عمامه,دستار
عمده,بزرگ;بسیار;بیشتر;فراوان;کلان
عمران,آبادانی;آبادی;سازندگی
عمل,کنش;کار;کردار
عمله,کارگر
عمودی,ستونی
عمومی,همگانی;همه گیر
عهد,پیمان;سوگند
عهدنامه,پیمان نامه
عواقب,پیامدها
عوام فریب,مردم فریب
عوام فریبانه,مردم فریبانه
عوامفریبانه,مردم فریبانه
عوض کردن,جابجا کردن;جابجاکردن
عیال,همسر;زن و فرزند
عیان,آشکار;آشکارا;روشن;هویدا
عیب,بدی;آک;کمبود;لغزش
عید,جشن;روزبه
عید نوروز,جشن نوروز
عیش و نوش,خوشگذرانی
غارت,تاراج;چپاول
غافل از آنکه,ناآگاه از آنکه
غالب مردم,بیشتر مردم
غالبا,بیشتر;بسی;بسیار;بیشتر;چه بسا
غذا,خوراک;خوراکی;خوردنی;خورش
غریبی,ناآشنایی
غسل,شست و شو;شستشو
غصه,غم;اندوه
غلات,گندم;ارزن;برنج;جو;ذرت
غلام,برده;بنده;سرسپرده
غلبه کردن,چیره شدن
غلط,نادرست;غلت;ناراست
غلطیدن,غلتیدن
غلیظ,چگال;پر مایه
غیر قابل اجرا,انجام ناپذیر
غیر قابل ارجاع,برگشت ناپذیر
غیر قابل انعطاف,نرمش ناپذیر
غیر قابل باور,باورنکردنی
غیر قابل بخشش,نابخشودنی
غیر قابل بیان,ناگفتنی
غیر قابل تحمل,برنتافتنی
غیر قابل درک,درنیافتنی
غیر قابل دسترس,دست نیافتنی
غیر قابل عفو,نابخشودنی
غیر قابل فهم,درنیافتنی
غیر قابل قسمت,بخش ناپذیر
غیر قابل کنترل,مهار گسیخته
غیر قابل مقایسه,سنجش ناپذیر
غیرمرفه,بینوا
غیرممکن,نشدنی;ناشدنی
فائق آمدن,پیروز شدن
فاتح,پیروزمند;پیروز;چیره
فاحشه,روسپی;تن فروش;خودفروش
فارسی,پارسی
فارغ البال,آسوده دل;سبکبال
فارغ التحصیل,دانش آموخته
فاصله گرفتن,دور شدن
فاکتور خرید,برگ خرید
فاکس,دورنگار
فامیلی,خانوادگی
فانی,زودگذر;مردنی;ناپایدار;ناپاینده;نماندنی
فایده,سود;بازدهی;بهره;سودبخش;هوده
فتنه,آشوب;شورش;غوغا;هنگامه
فحاشی,ناسزاگویی
فرار,گریز;ناپا;جست;جستن;گریختن;گریزا
فرار از,گریز از
فرامین,فرمان ها
فرانشیز,خودپرداخت
فرض کرد,پنداشت
فرکانس,بسامد
فرمول,ساختاره;ریختار;سانیز
فساد,تباهی;پوسیدگی;تباه شدن;ویرانی
فعال,پرکار;پرکنش;پویا;کاری;کنشگر;کوشا
فعالیت,تلاش;تکاپو;ناآرامی;پرکاری;کار و جنبش;کنشوری;کنشگری;کوشش;کوشندگی
فعل,کارواژه;پویه;کردار;کنش;کنش
فعلی,کنونی
فقر,تهیدستی;بینوایی;تنگدستی;مستمندی;نداری
فقط,تنها;بس
فقه,دین شناسی;نیرنگ
فقیر,تهیدست;تنگدست;تهی دست;گدا;مستمند;نیازمند
فقیه,دین شناس
فکر,اندیشه;باور;سگالش
فلاسک,دمابان
فلذا,بنابراین;پس
فلش,پیکان;تیر
فوت شد,درگذشت;مرد
فورا,بی درنگ;بیدرنگ;دردم;زود;هماندم
فوراً,بیدرنگ;دردم;زود;هماندم
فوق العاده,بی اندازه;شگفت انگیز
فوق برنامه,فرابرنامه
فوقانی,بالایی;زبرین;فراسر
فی الفور,در دم;بیدرنگ;دردم;هماندم
فی المثل,برای نمونه
فی الواقع,به راستی
فی نفسه,به خودی خود
فیش,برگه
قابل انجام,شدنی
قابل پیش بینی,پیش بینی کردنی
قابل تامل,درنگ کردنی
قابل توجه,چشمگیر;تماشایی;در خور نگرش;دیدنی
قابل دسترس,دست یافتنی
قابل ذکر است,گفتنی است
قابل شما را ندارد,سزاوارتان نیست
قابل قبول,پذیرفتنی;باورکردنی
قابل قسمت,بخش پذیر
قابل کنترل,مهار شدنی
قابل مطالعه,خواندنی
قابل مهار,مهار شدنی
قابله,ماما;زایمانگر
قابلیت قسمت,بخش پذیری
قاتل,آدمکش;آدم کش;جان ستان;کشنده
قاجاریه,قاجاریان;قاجار;قاجاریان;قاجار
قادر,توانا;توانمند;نیرومند
قاضی,دادرس;دادور;داور
قاطر,استر;اسر
قافله,کاروان;رهنوردان
قبایل,تیره ها
قبر,گور;آرامگاه;مزار
قبرستان,گورستان
قبض,رسید;برگه فروش
قبض انبار,رسید انبار
قبل,پیش;پیشینه
قبلی,پیشین
قبول می‌کنم,می پذیرم
قبیح,زشت;ناپسند;نکوهیده
قتل عام,کشتار;کشتار همگانی
قد علم کردن,سربرافراشتن;سر برافراشتن
قدح,سبو
قدرت,نیرو;تاب;توان;توانایی;زور;یارایی
قدرت بالقوه,توان نهفته
قدرت طلب,جاه پرست;فزون خواه
قدرتمند,نیرومند
قدردانی,سپاسداری;سپاسگزاری;گرامیداشت
قدم دوم,گام دوم
قدما,پیشینیان;گذشتگان
قدمت,دیرینگی;پیشینه;دیرینه;کهنگی
قدیمی,کهن;باستانی;کهنه;پارینه;دیرین;دیرینه
قرار دادن,نهادن
قرار می‌داد,می نهاد
قرارداد,پیمان نامه;پیمان
قراردادن یا,گذاشتن
قرض الحسنه,وام بی بهره
قرن,سده
قره قروت,ترف
قرون,سده ها
قرون وسطایی,میانسده ای
قرون وسطی,سده های میانی
قریب,نزدیک;خویش;خویشاوند
قریب الوقوع,زود هنگام
قسم,سوگند;جور;مانند;گونه
قسمت دوم,بخش دوم
قسی القلب,سنگدل;سخت دل
قصد دارند,برآنند
قصر,کاخ;کوشک
قصور,کوتاهی;سستی;فروگذاری
قصیده,چکامه;چامه;سروده
قضائیه,دادگستری
قضات,داوران;دادگران
قطع درختان,بریدن درختان
قطع کردن,بریدن;رهاکردن;گسلاندن
قطعا,بی گمان
قطعه,تکه;بخش;پاره;تکه
قفسه,گنجه;دولاب
قلاع,دژها
قلمرو,گستره
قله,چکاد;چکات;چکاذ;چکات;چگات;چیکات
قمر مصنوعی,ماهواره
قنات,کاریز;کهریز
قناعت کردن,بسنده کردن
قنوات,کاریزها
قهر آمیز,خشونت آمیز;پرخاشگرانه
قوای,نیروهای
قوز,گوژ
قوس,کمان;کژواره;کمانه
قوم,تیره;تبار;خاندان;خویش;دودمان
قوه,نیرو;توان
قوی,نیرومند;پایدار;توانا;زورمند
قیام,شورش;خیزش;خیزش
قیامت,هنگامه;رستاخیز
قیم,سرپرست;استور
قیمت,بها;ارج;ارزش;نرخ
قیومیت,سرپرستی
کاتالیزور,کنشیار
کار مشکلی است,کار دشواری است
کارخانجات,کارخانه ها
کاسب,سوداگر;پیشه ور;فروشنده
کاشف,یابنده;آشکارگر;بازیابنده
کافی است,بس است
کامپیوتر,رایانه
کاندیدا,نامزد
کبد,جگر
کبیر,بزرگ;بلند پایه;گرامی;مهان
کثرت,فراوانی;انبوهی;بسیاری;سرشاری;فزونی
کثیرالانتشار,پرشمارگان
کذاب,دروغگو;دروغپرداز
کذب,دروغ
کسب علم,دانش اندوزی
کسب و کار,سوداگری
کسرکردن,کاستن
کسوف,خورشید گرفتگی;خورشیدگرفتگی
کفاش,کفشگر;کفشدوز
کفاشی,کفشگری
کفایت,بسنده;برازندگی;بسندگی;شایستگی;کاردانی
کفایت می‌کند,بسنده می کند
کفن و دفن,خاکسپاری
کل,همه;سراسر;هماد;همگی
کلا,رویهمرفته;روی هم;یکجا;رویهم;سراسر;همگی;یکجا
کلاً,رویهمرفته
کلام,سخن;گفت;گفتار;گویش
کلام خدا,سخن خدا
کلمات,واژه ها
کلمه,واژه
کلمه عبور,گذرواژه
کلیپ تصویری,نماهنگ
کم نظیر,کم مانند;بی مانند
کم و کیف,چند و چون;چونی و چندی
کمالات,شایستگی;شایستگی‌ها
کنترل,مهار;بازرسی;در شمار آوردن;وارسی
کهولت,پیری;سالخوردگی;فرتوتی;فرسودگی
کیاست,زیرکی;خردمندی;زیرکی;هوشیاری;هوشیاری
لااقل,دست کم;دست پایین
لاجرم,خواه ناخواه;ناچار;ناگزیر
لازم نیست,نیاز نیست
لایتناهی,بی پایان;بیکران
لایق,شایسته;درخور;سزاوار
لاینحل,ناگشودنی;چاره ناپذیر
لباس,پوشاک;تن پوش;جامه;رخت
لباس پوشیدن,جامه پوشیدن
لجباز,یکدنده;پافشاری کننده;ستیزه جو;یکدنده ستیزه جو
لجبازی,یکدندگی
لحاف,روانداز;دواج
لحظه به لحظه,دم به دم;دمادم
لذیذ,خوشمزه;گوارا
لطفا,خواهشمندم;از روی مهر;خواهشمند است;مهرورزیده
لغت,واژه
لغتنامه,واژه نامه
لفافی,واژه بازی;سخنپردازی
لقب,فرنام;بَرنام;پاژنام
لهجه,گویش;سرزبان
لوازم,ابزارها;ابزار;افزار
لوازم التحریر,نوشت افزار
لیاقت,شایستگی;برازندگی;سزاواری
گاراژ,چندگاهه;زودگذر;ناپایدار
گزارشات,گزارش ها
ماحصل,دستاورد
ماخوذه,برگرفته
مادام که,تا هنگامی که
ماضی,گذشته;پارینه;سپری شده
مالکیت,از آنش;داشتاری
مامور,کارگزار;گمارده;گماشته
مامور پلیس,شهربان
ماهیت کار,سرشت کار
ماوراء الطبیعه,فرا سرشت;فراسپهر
ماوراء النهر,فرارود
ماورای,فرای
مایع,آبگون;آبسان;آبگونه;مایه
مایوس,دلسرد;سرخورده;ناامید;نومید;واخورده
مأخوذه,برگرفته
مأمور,گمارده;گماشته;فرمان یافته
مأیوس,ناامید;دلسرد;نومید;واخورده;سرخورده
مباحثه,گفت و شنود;گفت و شنید;گفتاورد;گفتگو;گفتمان;گفتمان
مبارک,فرخنده;پسندیده;خجسته;همایون
مبارک باد,خجسته باد;همایون باد
مبتدی,تازه کار;نوآموز;نوکار;نوگام
مبتکر,نوآور
مبتکرانه,نوآورانه
مبتلا,دچار
مبتلا به مریضی,دچار بیماری
مبتنی بر,بر پایه
مبحث,جستار;جُستار;سخن;گفتار
مبدا,آغاز;خاستگاه
مبدأ,خاستگاه;آغاز
مبین,بازگو کننده;آشکارکننده;روشنگر;گویا
متأثر,دل آزرده
متارکه,جدایی
متاسفانه,بدبختانه;شوربختانه;افسوس;دریغا;سوگمندانه;نگوندبختانه
متأسفانه,دریغا;افسوس;شوربختانه;بدبختانه
متبحر,زبردست;چیره دست;کاردان;کارشناس
متحد,همبسته;هماهنگ;همبسته;همدست;یکپارچه
متخصص,کارآزموده;آزموده;کاردان;کارشناس;ویژه کار
متخصصان,کارآزمودگان;ویژ هکاران
متخصصین,کارآزمودگان
مترجم,برگرداننده;ترجمان;ترزبان
مترقی,پیشرفته;بالارونده;پیشرونده
متسلسل,زنجیروار
متشکرم,سپاسگزارم
متشکریم,سپاسگزاریم
متشکل از,در برگیرنده;در بر گیرنده;دربربگیرنده;متصاعد
متعادل,ترازمند
متعاقب,به دنبال;در پی
متعاقباً,پس از این
متعجب,شگفت زده;شگفتزده
متعجب شد,شگفت زده شد
متعدد,انبوه;بسیار;بیشمار;فراوان
متعهد,پایبند;پذیرنده
متفرق کردن,پاشاندن;پراکندن;پراکنده کردن;تاراندن
متفکر,اندیشمند;اندیشگر
متفکران,اندیشمندان
متقاضی,درخواست کننده;خواستار;خواهان;درخواستگر
متلاشی,فروریخته;از هم پاشیده;فرو پاشنده;گسیخته
متمایز,جدا;سوا
متمول,توانگر;توانمند;دارا;سرمایه دار
متنوع,گوناگون;جوراجور;رنگارنگ
متواتر,پی در پی
متواضع,فروتن;خاکسار;سر به زیر
متوالی,پیاپی;پشت سرهم;پی در پی
متوسط,میانه;میانگین
متوقف شد,باز ایستاد
متولد شده,زاده شده
متولی,دست اندرکار;دینکار;سرپرست;کارگزار;کیشمند
متولیان,دست اندرکاران;دست‌اندرکاران;سرپرستان;کارگزاران
مثال,نمونه;بسان;شبیه;مانند;نشانه;همانند
مثلثی,لچکی
مثمر ثمر,کارساز
مثمر ثمر واقع شد,به کار آمد
مجانی,رایگان;مفت
مجبور,ناچار;ناگزیر;وادار;واداشته
مجدد,دوباره
مجددا,ازسر;ازنو;باز;دوباره
مجدداً,دوباره;ازنو;باز;ازسر
مجذوب,شیفته;دلباخته;دلبسته;شیدا;فریفته;گراییده
مجرب,کارآزموده;جهاندیده;کاردان;کارگشته
مجرم,بزهکار;بزه کار;تبهکار;گناهکار
مجروح,زخمی;آسیب دیده;افگار
مجسمه,تندیس;پیکره
مجلس,انجمن;انجمنگاه;نشست;نشستگاه;همایش
مجنون,دیوانه;خل;شیدا;شیفته
مجهول الهویه,ناشناس;بی نام و نشان;گمنام;ناشناخت
مجوز,پروانه;دستور;روادید
محاسبه نشده,نسنجیده
محبس,زندان;بازداشتگاه;بند
محبوس,زندانی;بازداشتی;دربند;درزنجیر
محترم,ارجمند;ارجمند;بزرگوار;گرامی;والا
محتوا,درونمایه;بن مایه
محتویات,درونمایه
محدود,اندک;کران مند;کرانمند;کرانه پذیر;کم;مرزبسته;مرزین;ناچیز
محذوریت,تنگنا
محروم,بی بهره;ناکام
محسوس,چشمگیر;آشکار;آشکارا;پیدا;سترسا;نمودار
محشر,رستاخیز
محصل,دانش آموز;دانشور
محضر,پیشگاه;بودگاه;پیشگاه;دفترخانه;فرگاه
محضر اسناد رسمی,دفترخانه;دفتر اسناد رسمی
محققانه,پژوهشگرانه
محکم,استوار;استوان;پابر جا;پابرجا;سخت;سفت
محل اکتشاف,یافتگاه
محل تلاقی,پیوندگاه
محله,برزن;کوی
محیط,پیرامون;پیراگیر;زیستگاه;فراگرد;گرداگرد
مخبر,خبرنگار;آگاهیده;پیامگوی;خبررسان;گزارشگر
مختلف,گوناگون;جوراجور;درهم;ناهمسان;ناهمگون
